GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,273,0.01,1,struct+input,qt_then_rd,cat,0.9805299988199904,0.0015392822094907,0.0198420724351972,0.000491128419754
Ar,273,0.05,1,struct+input,qt_then_rd,cat,0.9818435432275034,0.0007721684210225,0.0179172384875716,0.000514186597236
Ar,273,0.1,1,struct+input,qt_then_rd,cat,0.9864837767652536,0.002859917071406,0.0166462608434824,0.0004685830533932
Ar,273,0.5,1,struct+input,qt_then_rd,cat,0.9952098391384384,0.000431571867354,0.0115222642058371,0.0002017927928069
Ar,273,0.01,5,struct+input,qt_then_rd,cat,0.9425512826938498,0.0022016569618073,0.1188154472969661,0.0022385937842222
Ar,273,0.05,5,struct+input,qt_then_rd,cat,0.9464335513540056,0.0025495434311762,0.115891234204453,0.0019201659587502
Ar,273,0.1,5,struct+input,qt_then_rd,cat,0.9507081384015524,0.0027413283945549,0.1113871425918551,0.0030435513585424
Ar,273,0.5,5,struct+input,qt_then_rd,cat,0.958574445986882,0.0036115454836743,0.1016228128919754,0.001922012874372
Ar,273,0.01,15,struct+input,qt_then_rd,cat,0.9422332723045042,0.0031015118276712,0.2650597213679879,0.0029638194891623
Ar,273,0.05,15,struct+input,qt_then_rd,cat,0.9479354285885446,0.0027591781769916,0.2614734102666577,0.0051854863032261
Ar,273,0.1,15,struct+input,qt_then_rd,cat,0.9489751415362868,0.0040402675727531,0.2569445159779865,0.0060557104636664
Ar,273,0.5,15,struct+input,qt_then_rd,cat,0.9492252532220068,0.0035536896089841,0.251327016728837,0.0064174096488007
Ar,273,0.01,1,struct+input,qt_then_rd,gbm,0.980844318055832,0.0018548033779714,0.0188522654146143,0.0004678003207816
Ar,273,0.05,1,struct+input,qt_then_rd,gbm,0.9818780339098664,0.0014212831142376,0.01688245500532,0.0005121822958326
Ar,273,0.1,1,struct+input,qt_then_rd,gbm,0.9855218695651844,0.0019716486913485,0.0158597498779955,0.0001596179260898
Ar,273,0.5,1,struct+input,qt_then_rd,gbm,0.9955977878974976,0.0006172609983643,0.0101905666877542,0.0002267072997861
Ar,273,0.01,5,struct+input,qt_then_rd,gbm,0.9388776263867926,0.0016469149941888,0.1213845867661851,0.0010486936118206
Ar,273,0.05,5,struct+input,qt_then_rd,gbm,0.9432612176925176,0.002703692480414,0.1170314337963025,0.0028371204673704
Ar,273,0.1,5,struct+input,qt_then_rd,gbm,0.945569194473966,0.0027291346906569,0.1139053280078859,0.0022667981733316
Ar,273,0.5,5,struct+input,qt_then_rd,gbm,0.9563207620440386,0.0036664740235112,0.1033575843986813,0.00204775116348
Ar,273,0.01,15,struct+input,qt_then_rd,gbm,0.9392760299965788,0.0022309881834162,0.2743741778380348,0.003435161111579
Ar,273,0.05,15,struct+input,qt_then_rd,gbm,0.944587806516692,0.0028254989734711,0.2689406077478834,0.0053077614111454
Ar,273,0.1,15,struct+input,qt_then_rd,gbm,0.9441064861901826,0.0037597557237144,0.2693023924551573,0.006002166004455
Ar,273,0.5,15,struct+input,qt_then_rd,gbm,0.9460901751189232,0.004055628361518,0.2589762092153206,0.008576686851709
Ar,273,0.01,1,struct+input,qt_then_rd,rf,0.9771458677188092,0.0012480972433286,0.0193021688455534,0.0005196292819866
Ar,273,0.05,1,struct+input,qt_then_rd,rf,0.97882895145544,0.0028619517313784,0.0173572328896643,0.0007158207649049
Ar,273,0.1,1,struct+input,qt_then_rd,rf,0.9845767585423036,0.0018627316026079,0.015833341737173,0.0004738944957423
Ar,273,0.5,1,struct+input,qt_then_rd,rf,0.9949418897109208,0.0007241104406087,0.0105692074192119,0.0002772588005585
Ar,273,0.01,5,struct+input,qt_then_rd,rf,0.939136288741653,0.001958152852742,0.1164870795911166,0.0016274316384217
Ar,273,0.05,5,struct+input,qt_then_rd,rf,0.9415978804456212,0.004411025994778,0.1133762135723647,0.0027715929623669
Ar,273,0.1,5,struct+input,qt_then_rd,rf,0.9458629950689252,0.0034406509997872,0.1085642145248513,0.0027497408734127
Ar,273,0.5,5,struct+input,qt_then_rd,rf,0.9540096072347776,0.0054448252989548,0.1008255015717654,0.00216989545237
Ar,273,0.01,15,struct+input,qt_then_rd,rf,0.9383258285395224,0.0031823347231231,0.2637943178920575,0.0010014009522539
Ar,273,0.05,15,struct+input,qt_then_rd,rf,0.9431964469653422,0.0037740484251755,0.261490030372281,0.0076396161723866
Ar,273,0.1,15,struct+input,qt_then_rd,rf,0.944356655262039,0.0043743687104858,0.2559307224517245,0.0075068027647179
Ar,273,0.5,15,struct+input,qt_then_rd,rf,0.944984206195126,0.0036487666587625,0.2524025373138433,0.0052753417043656
Ar,293,0.01,1,struct+input,qt_then_rd,cat,0.985810302237564,0.0015325847734938,0.0130222337080536,0.0002335829227762
Ar,293,0.05,1,struct+input,qt_then_rd,cat,0.9875980328110916,0.0007419307442366,0.0114785929097514,0.0002903125085602
Ar,293,0.1,1,struct+input,qt_then_rd,cat,0.990463784362961,0.0014664875207443,0.0104553025445347,0.0001814186588278
Ar,293,0.5,1,struct+input,qt_then_rd,cat,0.9953614619655892,0.0003953889268421,0.0075530625078676,4.217874980876186e-05
Ar,293,0.01,5,struct+input,qt_then_rd,cat,0.9628986044844862,0.0015385456723631,0.0749174820688644,0.0015655553277677
Ar,293,0.05,5,struct+input,qt_then_rd,cat,0.9662226919208408,0.0026576726469975,0.0712896900695428,0.0020127524045909
Ar,293,0.1,5,struct+input,qt_then_rd,cat,0.9687005374816972,0.0026897830384397,0.0679949011022608,0.001572968408931
Ar,293,0.5,5,struct+input,qt_then_rd,cat,0.973596208618178,0.0021125130152484,0.0628189874772136,0.0013951494099158
Ar,293,0.01,15,struct+input,qt_then_rd,cat,0.961171842008725,0.002005975122388,0.183454331559169,0.0030032446311481
Ar,293,0.05,15,struct+input,qt_then_rd,cat,0.9623746433438642,0.0024298130629923,0.1784326925005653,0.0035028303103259
Ar,293,0.1,15,struct+input,qt_then_rd,cat,0.9640682084232914,0.0020439620324933,0.1758196843786013,0.0037130678289733
Ar,293,0.5,15,struct+input,qt_then_rd,cat,0.966332161030136,0.0026238036979729,0.1701988018101148,0.0053800145728912
Ar,293,0.01,1,struct+input,qt_then_rd,gbm,0.986151629194892,0.0014996949422334,0.0120185709166415,9.929081797979412e-05
Ar,293,0.05,1,struct+input,qt_then_rd,gbm,0.988754847007068,0.0002751080394504,0.0099981608865821,0.0001581796520894
Ar,293,0.1,1,struct+input,qt_then_rd,gbm,0.9912230035881128,0.0013246047170712,0.0090146842735929,0.0001846561446968
Ar,293,0.5,1,struct+input,qt_then_rd,gbm,0.9960756795848338,0.000622760666164,0.0063307720348807,0.0001247854782328
Ar,293,0.01,5,struct+input,qt_then_rd,gbm,0.9607163692153812,0.0017238952578296,0.076040953661771,0.0015881475638835
